date,description,amount,account,category
2026-05-01,Rent for May,12000.00,KBank,Rent
2026-05-01,Morning latte at Cafe Amazon,60.00,KBank,Coffee
2026-05-02,Big C weekly shop,845.50,KBank,Groceries
2026-05-02,BTS trips top-up,300.00,KBank,Transport
2026-05-03,Dinner at Som Tam Nua,390.00,Visa Card,Restaurants
2026-05-03,Iced americano at Roots,95.00,KBank,Coffee
2026-05-04,MEA electricity bill,1420.75,KBank,Utilities
2026-05-04,Grab ride to Asok,185.00,KBank,Transport
2026-05-05,Tops grocery run,512.25,KBank,Groceries
2026-05-05,Cinema ticket at Paragon,260.00,Visa Card,Entertainment
2026-05-06,Latte at Blue Bottle,150.00,Visa Card,Coffee
2026-05-06,Lunch at Baan Somtum,245.00,Visa Card,Restaurants
2026-05-07,MWA water bill,210.00,KBank,Utilities
2026-05-07,Motorbike taxi to office,45.00,KBank,Transport
2026-05-08,Villa Market cheese and bread,690.00,KBank,Groceries
2026-05-08,Espresso at Ceresia,110.00,KBank,Coffee
2026-05-09,Ramen dinner at Ippudo,420.00,Visa Card,Restaurants
2026-05-09,Grab ride home from Silom,220.00,Visa Card,Transport
2026-05-10,Pharmacy vitamins at Boots,480.00,KBank,Health
2026-05-10,Flat white at Gallery Drip,130.00,KBank,Coffee
2026-05-11,Makro bulk shop,1275.00,KBank,Groceries
2026-05-11,Netflix monthly plan,419.00,Visa Card,Entertainment
2026-05-12,Street noodles near BTS Ari,80.00,KBank,Restaurants
2026-05-12,BTS single journey,44.00,KBank,Transport
2026-05-13,True internet bill,799.00,KBank,Utilities
2026-05-13,Cold brew at Bottomless,165.00,KBank,Coffee
2026-05-14,7-Eleven snacks and milk,158.50,KBank,Groceries
2026-05-14,Taxi to Don Mueang,380.00,Visa Card,Transport
2026-05-15,Sushi lunch at Hana,520.00,Visa Card,Restaurants
2026-05-15,ATM withdrawal fee,20.00,KBank,Bank Fees
2026-05-16,Gym day pass at Fitness First,350.00,Visa Card,Health
2026-05-16,Latte at Casa Lapin,120.00,KBank,Coffee
2026-05-17,Lotus fresh produce,432.75,KBank,Groceries
2026-05-17,Grab ride to Ekkamai,165.00,KBank,Transport
2026-05-18,Spotify family plan,219.00,Visa Card,Entertainment
2026-05-18,Pad thai dinner at Thipsamai,320.00,KBank,Restaurants
2026-05-19,Cappuccino at Sarnies,140.00,Visa Card,Coffee
2026-05-19,MRT stored value top-up,500.00,KBank,Transport
2026-05-20,Gourmet Market weekend shop,968.00,KBank,Groceries
2026-05-20,Concert ticket at Impact Arena,1500.00,Visa Card,Entertainment
2026-05-21,Brunch at Luka,610.00,Visa Card,Restaurants
2026-05-21,Airport rail link ticket,45.00,KBank,Transport
2026-05-22,Freelance invoice paid by Zentry,18500.00,KBank,Freelance
2026-05-22,Drip coffee at Factory,85.00,KBank,Coffee
2026-05-23,CP Fresh Mart top-up shop,274.50,KBank,Groceries
2026-05-23,Visa card annual fee,1000.00,Visa Card,Bank Fees
2026-05-24,Grab ride to Sathorn,210.00,KBank,Transport
2026-05-25,Monthly salary from Zentry,55000.00,KBank,Salary
2026-05-26,Visa card payment from KBank,5000.00,KBank,Visa Card
2026-05-27,Espresso tonic at Rocket,175.00,KBank,Coffee
